,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer,param_module__dp_fc,param_module__dp_conv,param_max_epochs,param_lr,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46,487.4254689693451,0.31479617279348326,4.931349563598633,0.05803540221737652,<class 'torch.optim.adam.Adam'>,0.4191919191919192,0.001,51,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4191919191919192, 'module__dp_conv': 0.001, 'max_epochs': 51, 'lr': 0.001, 'batch_size': 128}",0.9406181552689219,0.9476758335361402,0.9581406668289122,0.9379259980525804,0.9483933787731256,0.946550806491936,0.007050805517694041,1
2,553.3047049999237,0.47510699981185645,4.951025819778442,0.09228512052546928,<class 'torch.optim.adam.Adam'>,0.398989898989899,1e-05,58,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.398989898989899, 'module__dp_conv': 1e-05, 'max_epochs': 58, 'lr': 0.001, 'batch_size': 128}",0.9476758335361402,0.9350206862983694,0.9576539303966902,0.9223466407010711,0.9505842259006816,0.9426562633665905,0.01252007588599405,2
49,343.85780634880064,0.1086230917852006,4.9392924308776855,0.056749468419658215,<class 'torch.optim.adam.Adam'>,0.43939393939393945,0.0001,36,0.01,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.43939393939393945, 'module__dp_conv': 0.0001, 'max_epochs': 36, 'lr': 0.01, 'batch_size': 128}",0.9389145777561451,0.9352640545144804,0.9484059381844732,0.942794547224927,0.9459591041869523,0.9422676443733955,0.004730253264525892,3
25,1207.8299819469453,0.433591861321467,5.111509084701538,0.06992715436180748,<class 'torch.optim.adam.Adam'>,0.09090909090909091,1e-05,125,0.0001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.09090909090909091, 'module__dp_conv': 1e-05, 'max_epochs': 125, 'lr': 0.0001, 'batch_size': 64}",0.9367242638111463,0.9418349963494768,0.9520564614261378,0.927458617332035,0.9393865628042843,0.9394921803446159,0.007947692768432288,4
37,311.9736443042755,0.17677627012200278,5.168127918243409,0.07237357641317228,<class 'torch.optim.adam.Adam'>,0.13131313131313133,0.1,30,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.13131313131313133, 'module__dp_conv': 0.1, 'max_epochs': 30, 'lr': 0.01, 'batch_size': 32}",0.9447554149428085,0.9338038452178146,0.9418349963494768,0.9371957156767283,0.9388997078870497,0.9392979360147755,0.003767856182725139,5
7,604.2694165706635,0.23216821132190937,4.94984130859375,0.06165270679438495,<class 'torch.optim.adam.Adam'>,0.38383838383838387,0.0001,63,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.38383838383838387, 'module__dp_conv': 0.0001, 'max_epochs': 63, 'lr': 0.001, 'batch_size': 128}",0.9437819420783645,0.9381844731078122,0.9452421513750304,0.9245374878286271,0.943524829600779,0.9390541767981228,0.007643561650662992,6
10,555.6542691707612,0.2142160463075246,5.19151463508606,0.05206022766413833,<class 'torch.optim.adam.Adam'>,0.005050505050505051,0.0001,53,0.001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.005050505050505051, 'module__dp_conv': 0.0001, 'max_epochs': 53, 'lr': 0.001, 'batch_size': 32}",0.9428084692139207,0.939644682404478,0.9503528839133609,0.9169912366114897,0.9425511197663097,0.9384696783819118,0.011308385726524553,7
23,288.04004888534547,0.15010828520005662,5.176986503601074,0.08892993316710424,<class 'torch.optim.adam.Adam'>,0.2828282828282829,0.01,30,0.01,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2828282828282829, 'module__dp_conv': 0.01, 'max_epochs': 30, 'lr': 0.01, 'batch_size': 64}",0.939157945972256,0.9014358724750547,0.9505962521294719,0.9415774099318404,0.9503407984420643,0.9366216557901375,0.018179856063501306,8
41,845.2513286590577,0.11872597122287903,5.098605442047119,0.06618751892796217,<class 'torch.optim.adam.Adam'>,0.37878787878787884,0.1,84,0.0001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.37878787878787884, 'module__dp_conv': 0.1, 'max_epochs': 84, 'lr': 0.0001, 'batch_size': 256}",0.9430518374300316,0.9362375273789243,0.9411048917011439,0.9333008763388511,0.9281888997078871,0.9363768065113677,0.005355994590219757,9
5,515.1682848930359,0.1838191955878233,4.936747026443482,0.056520374332052974,<class 'torch.optim.adam.Adam'>,0.010101010101010102,0.001,54,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.010101010101010102, 'module__dp_conv': 0.001, 'max_epochs': 54, 'lr': 0.001, 'batch_size': 128}",0.939401314188367,0.908980287174495,0.9457288878072524,0.9257546251217137,0.9537487828627069,0.934722779430907,0.015799465908317406,10
17,947.8522442340851,0.3997989341345808,5.1117085933685305,0.07025825800023543,<class 'torch.optim.adam.Adam'>,0.005050505050505051,0.1,94,0.0001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.005050505050505051, 'module__dp_conv': 0.1, 'max_epochs': 94, 'lr': 0.0001, 'batch_size': 256}",0.9445120467266975,0.9333171087855926,0.9520564614261378,0.8928919182083739,0.9466893865628043,0.9338933843419213,0.021390854828468878,11
27,959.1220492362976,0.5667610145771577,4.988343858718872,0.07012766809223193,<class 'torch.optim.adam.Adam'>,0.4141414141414142,0.1,100,0.0001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4141414141414142, 'module__dp_conv': 0.1, 'max_epochs': 100, 'lr': 0.0001, 'batch_size': 128}",0.9355074227305914,0.9459722560233633,0.949866147481139,0.8945959104186952,0.9430379746835443,0.9337959422674666,0.020156889332393332,12
9,671.370431137085,0.41371489840680375,4.962239599227905,0.062260808809790895,<class 'torch.optim.adam.Adam'>,0.38383838383838387,0.001,70,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.38383838383838387, 'module__dp_conv': 0.001, 'max_epochs': 70, 'lr': 0.001, 'batch_size': 128}",0.9381844731078122,0.9101971282550498,0.9505962521294719,0.9201557935735151,0.948636806231743,0.9335540906595184,0.01590236508062006,13
40,495.3885051727295,0.18809071468997,4.942303037643432,0.07075963395684415,<class 'torch.optim.adam.Adam'>,0.07070707070707072,0.001,52,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.07070707070707072, 'module__dp_conv': 0.001, 'max_epochs': 52, 'lr': 0.001, 'batch_size': 128}",0.9381844731078122,0.9170114383061572,0.9547335118033585,0.9152872444011685,0.9418208373904576,0.9334075010017907,0.015136558390801393,14
18,723.148660326004,0.11659828171350968,5.173267078399658,0.032970808703136005,<class 'torch.optim.adam.Adam'>,0.3888888888888889,1e-05,69,0.001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.3888888888888889, 'module__dp_conv': 1e-05, 'max_epochs': 69, 'lr': 0.001, 'batch_size': 32}",0.9440253102944756,0.8948649306400585,0.9479192017522512,0.9240506329113924,0.9554527750730283,0.9332625701342412,0.021827950556527618,15
26,1352.241337108612,0.21544477069413973,5.211738443374633,0.06900003709138168,<class 'torch.optim.adam.Adam'>,0.2575757575757576,0.01,128,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2575757575757576, 'module__dp_conv': 0.01, 'max_epochs': 128, 'lr': 0.0001, 'batch_size': 32}",0.9464589924555853,0.9359941591628134,0.9462156242394744,0.8931353456669913,0.9432814021421616,0.9330171047334052,0.020296101218166687,16
19,1255.7969539642334,0.630823582695949,5.139339542388916,0.06064659620635687,<class 'torch.optim.adam.Adam'>,0.03535353535353536,0.0001,130,0.0001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.03535353535353536, 'module__dp_conv': 0.0001, 'max_epochs': 130, 'lr': 0.0001, 'batch_size': 64}",0.939644682404478,0.9277196398150401,0.9369676320272572,0.9162609542356378,0.9425511197663097,0.9326288056497447,0.009576081949383067,17
14,1384.579304122925,1.41553875556629,5.306600332260132,0.2648778570617642,<class 'torch.optim.adam.Adam'>,0.010101010101010102,0.001,131,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.010101010101010102, 'module__dp_conv': 0.001, 'max_epochs': 131, 'lr': 0.0001, 'batch_size': 32}",0.9389145777561451,0.9413482599172548,0.9462156242394744,0.9018987341772152,0.9330574488802337,0.9322869289940645,0.015773890341791674,18
20,1533.791171503067,0.8287896595621371,5.159693670272827,0.05616170494074339,<class 'torch.optim.adam.Adam'>,0.43939393939393945,0.0001,145,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.43939393939393945, 'module__dp_conv': 0.0001, 'max_epochs': 145, 'lr': 0.0001, 'batch_size': 32}",0.9389145777561451,0.9216354344122658,0.9447554149428085,0.9048198636806232,0.9466893865628043,0.9313629354709294,0.01594016842816816,19
16,1319.7139039516449,0.28419590852963356,5.16775074005127,0.0833176986385703,<class 'torch.optim.adam.Adam'>,0.398989898989899,0.01,125,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.398989898989899, 'module__dp_conv': 0.01, 'max_epochs': 125, 'lr': 0.0001, 'batch_size': 32}",0.9379411048917011,0.9235823801411536,0.9423217327816987,0.9070107108081792,0.9440116845180136,0.9309735226281493,0.013972602329825093,20
13,1236.6828777313233,0.26175466975444533,5.205621862411499,0.06479336388944024,<class 'torch.optim.adam.Adam'>,0.1767676767676768,0.0001,117,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1767676767676768, 'module__dp_conv': 0.0001, 'max_epochs': 117, 'lr': 0.0001, 'batch_size': 32}",0.9415916281333658,0.9140910197128255,0.9469457288878073,0.9006815968841285,0.9442551119766309,0.9295130171189516,0.018634432866056694,21
43,1416.7783397674561,0.7406852601755757,4.945706081390381,0.06413194499457156,<class 'torch.optim.adam.Adam'>,0.15151515151515152,0.0001,148,0.0001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.15151515151515152, 'module__dp_conv': 0.0001, 'max_epochs': 148, 'lr': 0.0001, 'batch_size': 128}",0.939157945972256,0.9233390119250426,0.9462156242394744,0.8936222005842259,0.9447419668938656,0.9294153499229729,0.01964761566049476,22
36,1315.9121187210083,2.350149456988655,5.156284761428833,0.05861839596815041,<class 'torch.optim.adam.Adam'>,0.03535353535353536,1e-05,125,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.03535353535353536, 'module__dp_conv': 1e-05, 'max_epochs': 125, 'lr': 0.0001, 'batch_size': 32}",0.9374543684594792,0.9133609150644926,0.9435385738622536,0.9043330087633885,0.9479065238558909,0.9293186780011009,0.017279101691091273,23
45,825.3122942924499,0.5384861995629044,5.113230752944946,0.08518338006106327,<class 'torch.optim.adam.Adam'>,0.4696969696969697,1e-05,82,0.0001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4696969696969697, 'module__dp_conv': 1e-05, 'max_epochs': 82, 'lr': 0.0001, 'batch_size': 256}",0.9408615234850328,0.9274762715989292,0.9432952056461427,0.9169912366114897,0.9167478091528725,0.9290744092988934,0.01132845344297778,24
33,1018.6750868320465,0.6628148388478666,5.104630374908448,0.047228890815053506,<class 'torch.optim.adam.Adam'>,0.5,0.001,101,0.0001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.001, 'max_epochs': 101, 'lr': 0.0001, 'batch_size': 256}",0.9432952056461427,0.9313701630567048,0.9454855195911414,0.8851022395326192,0.9342745861733204,0.9279055427999857,0.022048076488024013,25
32,1243.365885925293,0.15819419918996286,5.184203958511352,0.08303484792473971,<class 'torch.optim.adam.Adam'>,0.3535353535353536,0.001,118,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.3535353535353536, 'module__dp_conv': 0.001, 'max_epochs': 118, 'lr': 0.0001, 'batch_size': 32}",0.9442686785105865,0.9150644925772694,0.9428084692139207,0.8836416747809153,0.9452288218111002,0.9262024273787585,0.024081631978840303,26
35,1159.4153542518616,0.46726902114544316,5.112088632583618,0.05930214998715186,<class 'torch.optim.adam.Adam'>,0.24242424242424243,1e-05,115,0.0001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.24242424242424243, 'module__dp_conv': 1e-05, 'max_epochs': 115, 'lr': 0.0001, 'batch_size': 256}",0.939401314188367,0.9379411048917011,0.9549768800194695,0.8537000973709834,0.9406037000973709,0.9253246193135783,0.03633210168711395,27
39,1309.267077255249,0.5167739571329191,5.132510185241699,0.06522233166807045,<class 'torch.optim.adam.Adam'>,0.3484848484848485,0.001,136,0.0001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.3484848484848485, 'module__dp_conv': 0.001, 'max_epochs': 136, 'lr': 0.0001, 'batch_size': 64}",0.9340472134339255,0.9116573375517157,0.9449987831589195,0.8851022395326192,0.9374391431353457,0.9226489433625051,0.0218117228831466,28
48,381.6159742832184,0.24708352470688869,4.961017179489136,0.056009211704251584,<class 'torch.optim.sgd.SGD'>,0.297979797979798,0.001,40,0.01,128,"{'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dp_fc': 0.297979797979798, 'module__dp_conv': 0.001, 'max_epochs': 40, 'lr': 0.01, 'batch_size': 128}",0.9265027987344853,0.8863470430761743,0.9269895351667072,0.9286757546251218,0.9401168451801363,0.9217263953565249,0.018377788096647907,29
31,631.8401882648468,0.17189613163749656,4.946120834350586,0.07823773106544947,<class 'torch.optim.adam.Adam'>,0.04040404040404041,0.1,66,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.04040404040404041, 'module__dp_conv': 0.1, 'max_epochs': 66, 'lr': 0.001, 'batch_size': 128}",0.9415916281333658,0.8700413725967389,0.9459722560233633,0.9026290165530672,0.9437682570593963,0.9208005060731862,0.030000326665220418,30
