,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer,param_module__dp_fc,param_module__dp_conv,param_max_epochs,param_lr,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9,453.07498517036436,0.0916750335712824,5.093327379226684,0.05624500251655564,<class 'torch.optim.adam.Adam'>,0.30000000000000004,0.0001,45,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 0.0001, 'max_epochs': 45, 'lr': 0.002, 'batch_size': 128}",0.9403747870528109,0.949866147481139,0.9503528839133609,0.936222005842259,0.943524829600779,0.9440681307780696,0.005451839326523254,1
38,860.6922139167785,0.5724254635640939,5.1251624584197994,0.10413699811238139,<class 'torch.optim.adam.Adam'>,0.30000000000000004,0.0001,89,0.001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 0.0001, 'max_epochs': 89, 'lr': 0.001, 'batch_size': 64}",0.9411048917011439,0.9527865660744707,0.9501095156972499,0.9255111976630964,0.9454722492697176,0.9429968840811357,0.00961128190752896,2
25,512.8405387878418,0.1960171147235749,4.9966392993927,0.06818644643793206,<class 'torch.optim.adam.Adam'>,0.5,1e-05,52,0.005,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 1e-05, 'max_epochs': 52, 'lr': 0.005, 'batch_size': 32}",0.9403747870528109,0.9369676320272572,0.9476758335361402,0.9352482960077897,0.9520447906523856,0.9424622678552765,0.006412425423587279,3
2,364.78060445785525,0.21866232521188325,5.109790897369384,0.0597638390646958,<class 'torch.optim.adam.Adam'>,0.0,1e-05,38,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 1e-05, 'max_epochs': 38, 'lr': 0.0005, 'batch_size': 64}",0.9369676320272572,0.939888050620589,0.9486493064005841,0.935491723466407,0.9513145082765336,0.9424622441582742,0.00635685004959483,4
3,584.6046864032745,0.32440194317856397,5.0934404850006105,0.05255763287993144,<class 'torch.optim.adam.Adam'>,0.2,1e-05,58,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2, 'module__dp_conv': 1e-05, 'max_epochs': 58, 'lr': 0.002, 'batch_size': 128}",0.9415916281333658,0.9432952056461427,0.9515697249939158,0.9374391431353457,0.937682570593963,0.9423156545005466,0.005145238282214641,5
17,413.22463927268984,0.17025511786111297,5.140945100784302,0.050213746463095926,<class 'torch.optim.adam.Adam'>,0.30000000000000004,0.1,43,0.001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 0.1, 'max_epochs': 43, 'lr': 0.001, 'batch_size': 64}",0.9437819420783645,0.939157945972256,0.948892674616695,0.936222005842259,0.9403602726387537,0.9416829682296657,0.004343568317132725,6
40,593.2384050369262,0.19855598278097678,4.996853065490723,0.0502836059731464,<class 'torch.optim.adam.Adam'>,0.30000000000000004,1e-05,60,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 1e-05, 'max_epochs': 60, 'lr': 0.01, 'batch_size': 32}",0.9445120467266975,0.9359941591628134,0.9367242638111463,0.9298928919182083,0.9569133398247323,0.9408073402887196,0.009296144148523984,7
28,231.76572046279907,0.09667000273751396,5.107062482833863,0.08712377381468643,<class 'torch.optim.adam.Adam'>,0.1,0.01,23,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 0.01, 'max_epochs': 23, 'lr': 0.001, 'batch_size': 128}",0.9413482599172548,0.9328303723533706,0.9484059381844732,0.9308666017526777,0.9464459591041869,0.9399794262623926,0.007054762902899256,8
6,403.64432163238524,0.18685383299384095,5.107298040390015,0.06311312528093568,<class 'torch.optim.adam.Adam'>,0.0,0.0001,42,0.002,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.0001, 'max_epochs': 42, 'lr': 0.002, 'batch_size': 64}",0.9442686785105865,0.939644682404478,0.9467023606716963,0.928919182083739,0.9396299902629016,0.9398329787866804,0.006100023899368198,9
13,373.6218236446381,0.20944585218927364,5.011490440368652,0.06821239575862165,<class 'torch.optim.adam.Adam'>,0.5,0.01,38,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.01, 'max_epochs': 38, 'lr': 0.01, 'batch_size': 32}",0.938671209540034,0.9389145777561451,0.9454855195911414,0.9233203505355404,0.9505842259006816,0.9393951766647085,0.009180874016759929,10
46,187.0531114578247,0.098205129150497,4.982414293289184,0.06705800978027728,<class 'torch.optim.adam.Adam'>,0.1,1e-05,19,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 1e-05, 'max_epochs': 19, 'lr': 0.01, 'batch_size': 32}",0.9369676320272572,0.919445120467267,0.9474324653200292,0.939873417721519,0.9525316455696202,0.9392500562211386,0.011324186101078184,11
44,404.2050310134888,0.07497142741868969,4.991978645324707,0.053052785815812915,<class 'torch.optim.adam.Adam'>,0.0,0.1,41,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.1, 'max_epochs': 41, 'lr': 0.01, 'batch_size': 32}",0.9447554149428085,0.918715015818934,0.9411048917011439,0.9418208373904576,0.9493670886075949,0.9391526496921878,0.010624058486304069,12
48,819.9969726085662,0.28634036113741157,5.138685607910157,0.11888383414822778,<class 'torch.optim.adam.Adam'>,0.4,0.0001,81,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 0.0001, 'max_epochs': 81, 'lr': 0.002, 'batch_size': 128}",0.9411048917011439,0.9277196398150401,0.9479192017522512,0.9388997078870497,0.939873417721519,0.9391033717754007,0.006510741022000013,13
5,392.90648884773253,0.400771560631355,5.094649076461792,0.05169947481127765,<class 'torch.optim.adam.Adam'>,0.30000000000000004,0.0001,39,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 0.0001, 'max_epochs': 39, 'lr': 0.002, 'batch_size': 128}",0.9389145777561451,0.9384278413239231,0.9540034071550255,0.9238072054527751,0.9403602726387537,0.9391026608653243,0.009571369184285078,14
19,830.6455131053924,0.25647291892480717,5.0013014793396,0.06119466904436485,<class 'torch.optim.adam.Adam'>,0.1,1e-05,84,0.005,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 1e-05, 'max_epochs': 84, 'lr': 0.005, 'batch_size': 32}",0.9430518374300316,0.919931856899489,0.9540034071550255,0.9298928919182083,0.9481499513145083,0.9390059889434526,0.012423965079269426,15
34,603.7141685962677,0.16175941207412073,5.004287672042847,0.07906540173808886,<class 'torch.optim.adam.Adam'>,0.30000000000000004,0.1,61,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 0.1, 'max_epochs': 61, 'lr': 0.01, 'batch_size': 32}",0.9418349963494768,0.9206619615478219,0.9476758335361402,0.9350048685491723,0.948636806231743,0.9387628932428708,0.010277538204337605,16
33,395.34139981269834,0.7951069618976977,5.130772113800049,0.05007093118107533,<class 'torch.optim.adam.Adam'>,0.5,1e-05,41,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 1e-05, 'max_epochs': 41, 'lr': 0.0005, 'batch_size': 64}",0.9411048917011439,0.9469457288878073,0.9501095156972499,0.9272151898734177,0.9277020447906524,0.9386154741900542,0.00955795748890912,17
14,857.4469358444214,0.5458284848958576,5.184658336639404,0.06552063683926507,<class 'torch.optim.adam.Adam'>,0.2,0.0001,85,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2, 'module__dp_conv': 0.0001, 'max_epochs': 85, 'lr': 0.002, 'batch_size': 128}",0.9376977366755902,0.928936480895595,0.9481625699683621,0.931110029211295,0.9437682570593963,0.9379350147620477,0.007297121920343354,18
47,1399.173127746582,0.19273232850599034,5.079806613922119,0.05396777689650011,<class 'torch.optim.adam.Adam'>,0.2,0.0001,138,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2, 'module__dp_conv': 0.0001, 'max_epochs': 138, 'lr': 0.0005, 'batch_size': 128}",0.9381844731078122,0.9389145777561451,0.9549768800194695,0.9157740993184031,0.9401168451801363,0.9375933750763933,0.012543762700859619,19
41,376.13233361244204,0.23927120048327644,5.116398096084595,0.06238093174360347,<class 'torch.optim.adam.Adam'>,0.0,1e-05,39,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 1e-05, 'max_epochs': 39, 'lr': 0.0005, 'batch_size': 64}",0.9432952056461427,0.9209053297639328,0.9467023606716963,0.9281888997078871,0.9479065238558909,0.93739966392911,0.010849819550889178,20
26,245.49185314178467,0.05456220814440586,5.01616735458374,0.08466445489956917,<class 'torch.optim.adam.Adam'>,0.30000000000000004,1e-05,25,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 1e-05, 'max_epochs': 25, 'lr': 0.01, 'batch_size': 32}",0.9437819420783645,0.9425651009978097,0.9223655390605987,0.9279454722492697,0.9462025316455697,0.9365721172063225,0.0095591650002268,21
32,1232.5884285449981,0.2008089568432288,5.130614614486694,0.13154535893120095,<class 'torch.optim.adam.Adam'>,0.2,0.1,122,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2, 'module__dp_conv': 0.1, 'max_epochs': 122, 'lr': 0.0005, 'batch_size': 128}",0.9420783645655877,0.9213920661961548,0.9464589924555853,0.9194255111976631,0.9530185004868549,0.9364746869803693,0.013586354685705185,22
43,1206.163845348358,0.3665062300272294,5.092953205108643,0.06933711562452538,<class 'torch.optim.adam.Adam'>,0.2,0.01,119,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2, 'module__dp_conv': 0.01, 'max_epochs': 119, 'lr': 0.002, 'batch_size': 128}",0.9442686785105865,0.9321002677050377,0.9369676320272572,0.9286757546251218,0.9381694255111976,0.9360363516758401,0.0053452715209306055,23
21,1576.5659022331238,0.4514915140471321,5.089448690414429,0.07112199729496566,<class 'torch.optim.adam.Adam'>,0.5,1e-05,156,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 1e-05, 'max_epochs': 156, 'lr': 0.001, 'batch_size': 128}",0.9428084692139207,0.9313701630567048,0.9471890971039182,0.9089581304771178,0.9454722492697176,0.9351596218242758,0.014215776962856443,24
23,211.633531332016,0.08037919589856854,5.08074803352356,0.05671530186512467,<class 'torch.optim.adam.Adam'>,0.0,0.1,21,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.1, 'max_epochs': 21, 'lr': 0.0005, 'batch_size': 128}",0.9376977366755902,0.938671209540034,0.949379411048917,0.9096884128529699,0.939873417721519,0.935062037567806,0.013356125378734639,25
15,665.0677719116211,0.216641568717973,5.117787170410156,0.08254688900043648,<class 'torch.optim.adam.Adam'>,0.1,0.1,66,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 0.1, 'max_epochs': 66, 'lr': 0.001, 'batch_size': 128}",0.9379411048917011,0.9121440739839377,0.9520564614261378,0.9291626095423564,0.942064264849075,0.9346737029386416,0.013456693091310631,26
18,1423.266820383072,0.10916393420294637,5.088366317749023,0.06935685559399146,<class 'torch.optim.adam.Adam'>,0.5,0.0001,141,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.0001, 'max_epochs': 141, 'lr': 0.001, 'batch_size': 128}",0.9406181552689219,0.9376977366755902,0.9372110002433682,0.9155306718597858,0.941333982473223,0.9344783093041779,0.009607738965694378,27
35,1460.376425743103,0.4514979123955495,5.122714281082153,0.06485745917556973,<class 'torch.optim.adam.Adam'>,0.4,0.01,144,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 0.01, 'max_epochs': 144, 'lr': 0.001, 'batch_size': 128}",0.9401314188366999,0.9226089072767096,0.9505962521294719,0.9118792599805258,0.9444985394352483,0.933942875531731,0.014438261864815267,28
36,973.2600936889648,0.43381410868340264,5.002396535873413,0.06344650516009363,<class 'torch.optim.adam.Adam'>,0.4,0.01,98,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 0.01, 'max_epochs': 98, 'lr': 0.01, 'batch_size': 32}",0.9362375273789243,0.9004623996106108,0.9469457288878073,0.9333008763388511,0.9498539435248295,0.9333600951482047,0.017590667827980314,29
4,433.3792263507843,0.28852922787013097,5.085566759109497,0.057607772155362634,<class 'torch.optim.adam.Adam'>,0.4,1e-05,43,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 1e-05, 'max_epochs': 43, 'lr': 0.0005, 'batch_size': 128}",0.9411048917011439,0.9099537600389389,0.949622779265028,0.9359785783836416,0.9298928919182083,0.9333105802613921,0.0133504980105577,30
45,572.75487241745,0.09179832373781555,5.0038903713226315,0.04543895960498627,<class 'torch.optim.adam.Adam'>,0.0,0.001,58,0.005,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.001, 'max_epochs': 58, 'lr': 0.005, 'batch_size': 32}",0.9467023606716963,0.8951082988561694,0.9510829885616938,0.9367088607594937,0.9350048685491723,0.9329214754796451,0.01984073836531424,31
49,1653.6718886852263,0.639652391551862,5.102040863037109,0.045508083688484316,<class 'torch.optim.adam.Adam'>,0.30000000000000004,1e-05,163,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.30000000000000004, 'module__dp_conv': 1e-05, 'max_epochs': 163, 'lr': 0.0005, 'batch_size': 128}",0.9267461669505963,0.939888050620589,0.9462156242394744,0.9203992210321325,0.9281888997078871,0.9322875925101359,0.009387194337610594,32
7,393.93351883888243,0.18685519141725979,5.1038069248199465,0.05417721303099867,<class 'torch.optim.adam.Adam'>,0.4,0.0001,41,0.002,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 0.0001, 'max_epochs': 41, 'lr': 0.002, 'batch_size': 64}",0.9401314188366999,0.9252859576539304,0.9513263567778049,0.8936222005842259,0.9505842259006816,0.9321900319506685,0.02146045098705634,33
8,186.12455859184266,0.16099557300095482,4.999727725982666,0.0627524720483501,<class 'torch.optim.adam.Adam'>,0.0,0.01,19,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.01, 'max_epochs': 19, 'lr': 0.01, 'batch_size': 32}",0.939888050620589,0.9338038452178146,0.9423217327816987,0.9043330087633885,0.9396299902629016,0.9319953255292784,0.014111643518916773,34
22,1029.7457335948943,0.6388400725901138,5.140843534469605,0.13882915026611528,<class 'torch.optim.adam.Adam'>,0.5,0.001,102,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.001, 'max_epochs': 102, 'lr': 0.0005, 'batch_size': 128}",0.939401314188367,0.9437819420783645,0.939644682404478,0.8938656280428432,0.942794547224927,0.931897622787796,0.019093113673826313,35
10,1039.1348620891572,0.531601607416163,5.080210161209107,0.05987910741432013,<class 'torch.optim.adam.Adam'>,0.1,0.001,103,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 0.001, 'max_epochs': 103, 'lr': 0.0005, 'batch_size': 128}",0.9447554149428085,0.908980287174495,0.9481625699683621,0.9264849074975657,0.9301363193768257,0.9317038997920115,0.014051958091482415,36
16,181.17894406318663,0.07726991665984054,5.1343906879425045,0.07077050323407741,<class 'torch.optim.adam.Adam'>,0.1,1e-05,18,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 1e-05, 'max_epochs': 18, 'lr': 0.002, 'batch_size': 128}",0.9432952056461427,0.9411048917011439,0.9454855195911414,0.9057935735150925,0.9221032132424537,0.9315564807391947,0.015336750585967998,37
12,712.3157353401184,0.3313745293554942,5.104694080352783,0.06873829703533006,<class 'torch.optim.adam.Adam'>,0.1,1e-05,74,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 1e-05, 'max_epochs': 74, 'lr': 0.0005, 'batch_size': 64}",0.9350206862983694,0.9340472134339255,0.9474324653200292,0.8950827653359299,0.9454722492697176,0.9314110759315943,0.018942682873588922,38
